ini_id,legislatura,cap,cap_label,model_version
315322,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356508,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356714,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
315089,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356147,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356216,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
356260,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
356448,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315101,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356528,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315235,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
315092,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315527,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356560,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315428,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315814,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
356697,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356702,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356546,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
356271,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356241,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315616,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
315405,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356710,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
315492,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356314,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315145,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315299,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315180,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315819,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356266,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315749,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315431,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356141,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356752,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315048,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356405,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315188,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
315813,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
345999,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356414,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356280,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315036,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
346006,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
356548,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
315906,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356539,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
335951,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
345988,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
315401,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356171,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356673,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315116,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315723,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315545,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356481,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315910,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356579,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315512,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356100,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315345,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315367,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
335946,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315457,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356331,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315174,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356607,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356668,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315272,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
